Feature ID	Taxon	Confidence
f4cc6e4932f507b33d1335d801f54563	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	0.9453987912732128
2e4f2b53b856c4def6d021d01f5abb70	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	0.968209059358731
2de5ccd5d5d8484edf5b47be19c7687e	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.9813751184718703
a3159dc8d1f6695edfad0162b013cc67	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Incertae_Sedis;s__	0.9999607248687934
6acfe69f470ceebec0cce442b1190fa9	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352;s__	0.9978826607451238
d76d59ec71de0e3b22da0c9cd564d41a	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	0.9997223128643413
bd5ef8f372e09bcf6ec35825be4f053c	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	0.9707019625635369
4e2e6735331ad01a30c94d2f4c285dc2	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__	0.9993993814342524
d9eea834805833ac21a86fdabedd8556	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__	0.9970128387374385
bed671b4676144142cebd192b690f499	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.8212315887010493
fd496fd32dc8c08ade2e8b6c9d8ee13d	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.9999933174332686
40874d61006874f7c87d904707d320d9	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	0.9693241931935913
6420671c26eef32065e0275c8cd6701e	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;s__	0.9912028708743883
e865f29a716e8d51f83931befa951240	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003;s__	0.9999961016273845
77c2dc197e6b3dbebc4ee240c6a1c559	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	0.9999348951363128
99deb3c5ecb022ec05609ebd1112a557	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9999999995779092
fa3d2114cfb8f1e6185bb490a3548733	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__	0.999999985150197
27f098662c8f87b4aaff903d9c0f28d3	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__	0.9999998847085219
569653b1659271a290facfcedd0de061	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales	0.9999944091615935
d8e7f9181e4d5a4a6453e9ca9996a43f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	0.9981107785215239
68d79c3035521e82b504b081a197d2ed	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__	0.9981786913345205
9282e20164736c7ada9bd98d04654b5e	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__	0.9999541338964606
9e701e82d552ee66d9007fa3883b6560	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9999999999683524
9d5054752ed33d6a22bd0f96b5618b1c	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9999998713074033
1bc1f0e94c2e5c3f32e5b2746769efb4	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridia_UCG-014;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.999999994937312
edf42f357f8934fc004c334c5c7b5e6e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__	0.9999999882139718
df16a09f3e448ddd3b1ec54066d3081d	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	0.9999660763794724
16d13ed513218adc8b205a10b716e08c	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9999999999677982
5fbc483f79cd97d3a7253931f37c33e8	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	0.9998032649981188
c67445ed68d61f49e41b7bdd1de019fb	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	0.9892633204548105
8538d07b8c1e8676f9b9c8c242aab14a	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__Incertae_Sedis;s__	0.9999370909242886
efa231614a5eb97a385a5cae7b440348	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	0.9996714842972889
a443e786f67086749ef29ce0ab494c9e	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales	0.9999906694380737
35cbb315e019e0a8768d4b73862df415	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.999999998936218
eba6ad448ed6a1fcd744350655065065	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group;s__	0.7006496197063388
8703e95fbf4d5c8fd088fb98382c5703	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__	0.999267726349115
87c18e8ee3789954404f2c1a35079a09	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__	0.9999994916786945
3219af75ee8056ed06ba81e873b0d0cb	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__	0.9988506670342095
5c4fd1d0cbe7b43a93c2ed9286af0847	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	0.9974496745200695
a891fb44241e433fa8acf251ef4d328f	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999992290211484
5cbba1ec821d0d64b7e66f992ea80a4e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	0.9999999999998153
c7e7cbf52b5ade57d3638adcf7cc379a	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	0.9999988256273372
