	R009_14d	R009_30d	R009_7d	R009_before
R009_14d	0	0.2669165730476379	0.3324480950832367	0.6058389544487
R009_30d	0.2669165730476379	0	0.3627309501171112	0.5893630981445312
R009_7d	0.3324480950832367	0.3627309501171112	0	0.5980592966079712
R009_before	0.6058389544487	0.5893630981445312	0.5980592966079712	0
