	R009_14d	R009_30d	R009_7d	R009_before
R009_14d	0	0.12872314453125	0.127313643693924	0.2849659323692322
R009_30d	0.12872314453125	0	0.1600918769836426	0.2889143228530884
R009_7d	0.127313643693924	0.1600918769836426	0	0.223698765039444
R009_before	0.2849659323692322	0.2889143228530884	0.223698765039444	0
