Phylum	R009_before	R009_7d	R009_14d	R009_30d
Bacteroidota	0.6661120354963949	0.4701583434835566	0.3927529311899835	0.3260110860192979
Bacillota	0.2469033092993159	0.3234181678312712	0.407130351742798	0.5358242660644631
Actinomycetota	0.000600850434461	0.1486633758574267	0.1479654093055334	0.0738554711558201
Verrucomicrobiota	0.0820854132002218	0.0	0.0	0.0
Pseudomonadota	0.0030504714364947	0.0312840566702993	0.0515677224255928	0.0583555738041469
Thermodesulfobacteriota	0.0	0.0060260273094429	0.0005835853360921	0.0059536029562718
Cyanobacteriota	0.0	0.020450028848003	0.0	0.0
Methanobacteriota	0.0012479201331114	0.0	0.0	0.0
