Genus	Before	7 days	14 days	30 days
Bacteroides	48.75670179330745	46.0734662478364	38.99411109342671	32.16485321289263
Bifidobacterium	0.03697541135145	14.250913520097441	14.234176879410048	7.365017450215559
Lachnospiraceae	3.76224810501016	2.9809603179691	14.19703963074964	14.75056456579757
Blautia	2.72693658716953	4.70542983524584	14.85489946416255	11.89694107986039
Faecalibacterium	2.09835459419486	7.37226745304186	0.54114276619449	8.8123588585506
Incertae_Sedis	8.98502495840266	0.0	0.0	0.0
Akkermansia	8.20854132002218	0.0	0.0	0.0
Anaerostipes	1.5575892031798801	1.0192961087249102	1.8409464693087099	3.2128926298501304
Escherichia-Shigella	0.0	1.95525354189371	4.81192636214122	0.29254773147197
Parasutterella	0.07857274912183	1.16033079043528	0.34484588041805003	4.0392116608499204
Dorea	0.41135145128489	2.28860824411821	1.05045360496578	1.27283925272018
Tyzzerella	0.0	3.4617603692544305	0.35545652289246	0.99055635393143
