timepoint	observed_features	shannon	faith_pd
Before	93	4.901374269455361	7.142030379760788
7 days	62	4.607261022612709	5.564016313666126
14 days	59	4.250599643746169	5.051051562606858
30 days	68	4.592848240335135	5.231098715514177
