# Constructed from biom file
#OTU ID	R009_14d	R009_30d	R009_7d	R009_before
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.3899411109342671	0.3216485321289263	0.460734662478364	0.4875670179330745
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.35142447875218846	0.3812872100184767	0.18719148663375856	0.11582547605842115
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.1423417687941005	0.07365017450215562	0.1425091352009744	0.00036975411351451286
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0.010027057138309725	0.09505235064668446	0.07840246169626258	0.08772416343131817
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae	0.0	0.0	0.0	0.08208541320022185
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0.04811926362141228	0.00292547731471977	0.01955253541893711	0.0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	0.003448458804180593	0.05543009648942722	0.011603307904352843	0.003050471436494731
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.0	0.0	0.0	0.08985024958402663
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0018568624330203194	0.003592691439129542	0.0025642669401884735	0.03179885376224811
d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.0	0.014370765756518168	0.006346560676966472	0.010445553706784988
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	0.0	0.0	0.0	0.02542059530412276
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.00843546076714945	0.006210223773352494	0.0037181870632732868	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0024404477691124197	0.0	0.013398294762484775	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	0.0028118202557164836	0.007236707041675221	0.008590294249631387	0.00023109632094657053
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	0.0046156294763647935	0.004259905563539315	0.0034617603692544394	0.0006932889628397116
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	0.0024404477691124197	0.01616711147608294	0.021539842297583177	0.01599186540950268
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.0	0.0	0.0	0.017286004806803475
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0.0005835853360921004	0.005953602956271813	0.006026027309442913	0.0
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;__	0.017295347233274975	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.0	0.0	0.0	0.009428729894620078
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis	0.0	0.0	0.020450028848003076	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridia_UCG-014;f__Incertae_Sedis	0.0	0.0	0.0	0.010630430763542245
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.0023873945567404104	0.005645657975774995	0.0007692800820565421	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	0.004297310202132739	0.003387394785464997	0.0	0.002634498058790904
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.004032044140272694	0.0	0.0038464004102827104	0.00023109632094657053
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	0.0009549578226961642	0.0007698624512420448	0.006859414065004167	0.004483268626363468
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae	0.0	0.0007185382878259084	0.0	0.001340358661490109
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	0.0	0.0	0.0012479201331114808
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae	0.00010610642474401825	0.0009238349414904537	0.0	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae	0.0	0.0	0.0	0.0009243852837862821
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.0015915963711602738	0.00020529665366454526	0.002307840246169626	0.0
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.000424425698976073	0.0003079449804968179	0.0	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__UCG-010	0.0	0.0	0.0	0.00046219264189314107
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	0.000424425698976073	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;__	0.0	0.0	0.0	0.00027731558513588466
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.0	0.0002566208170806816	0.0	0.0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria	0.0	0.0	0.00012821334700942368	0.0
