	R009_14d	R009_30d	R009_7d	R009_before
R009_14d	0.0	0.45121951219512196	0.4875	0.8217054263565892
R009_30d	0.45121951219512196	0.0	0.5714285714285714	0.8161764705882353
R009_7d	0.4875	0.5714285714285714	0.0	0.8432835820895522
R009_before	0.8217054263565892	0.8161764705882353	0.8432835820895522	0.0
