# Constructed from biom file
#OTU ID	R009_14d	R009_30d	R009_7d	R009_before
d__Bacteria;p__Bacteroidota	0.39275293118998356	0.3260110860192979	0.4701583434835566	0.6661120354963949
d__Bacteria;p__Bacillota	0.40713035174279805	0.5358242660644631	0.32341816783127125	0.24690330929931595
d__Bacteria;p__Actinomycetota	0.14796540930553345	0.07385547115582015	0.14866337585742675	0.0006008504344610834
d__Bacteria;p__Verrucomicrobiota	0.0	0.0	0.0	0.08208541320022185
d__Bacteria;p__Pseudomonadota	0.05156772242559287	0.05835557380414699	0.031284056670299376	0.003050471436494731
d__Bacteria;p__Thermodesulfobacteriota	0.0005835853360921004	0.005953602956271813	0.006026027309442913	0.0
d__Bacteria;p__Cyanobacteriota	0.0	0.0	0.020450028848003076	0.0
d__Archaea;p__Methanobacteriota	0.0	0.0	0.0	0.0012479201331114808
